ndocs   kdt         pat_10      pat_30      vpt
2000    147963904   224075776   167129088   151326720
4000    153153536   509571072   170950656   157478912
6000    159621120   511729664   173588480   159903744
8000    162037760   516009984   177152000   164364288
10000   166449152   521015296   179830784   167235584
12000   169168896   522510336   184766464   171425792
14000   173473792   527368192   187957248   173092864
16000   174985216   699559936   190423040   176525312
18000   178409472   1603698688  198094848   181407744
20000   183132160   1946542080  207286272   186695680
