ndocs   kdt                     pat_10                      pat_30                  vpt
2000    0.8002222802393741      27.615450518580964          6.628955355801526       9.635770782983599
4000    1.7259366326293915      17.93009578178031           6.77093846308675        21.48682085292019
6000    2.717164439245593       23.08033330367651           8.802748748944381       34.317904498257775
8000    3.7181407804019955      20.381874825887763          6.297921446396771       47.11034405305557
10000   4.792289617733417       25.268901040078987          7.356429864312815       60.80493742169506
12000   5.830154268903641       285.1904536179609           8.05992961125753        74.97968031901007
14000   6.949019939587629       258.7435979936438           9.92778196700499        89.07005415528397
16000   7.945636437623762       258.33832073404983          8.899985560535697       103.7099948805535
18000   9.095478114001935       239.74802726287544          10.051884058393853      118.0472928921372
20000   10.266750872566718      230.93170366718618          11.164004603126159      133.8228353565596
