test_point  dist                    pat_10      pat_30      vpt
0           1.1745455039949995      20000       20000       19541
1           1.1229832848718253      20000       20000       19503
2           1.2711831849966169      20000       20000       19602
3           0.8185087112106888      19158       20000       19342
4           1.2646529540402913      20000       20000       19593
5           1.1232834539328498      20000       20000       19491
6           1.1584838706218761      20000       20000       19525
7           0.99423319242998709     20000       20000       19501
8           0.19517756903150121     12044       16414       18013
9           0.30527511046815459     13666       18670       18980
10          0.94876198620412566     19914       20000       19493
11          0.99258258550393641     19692       20000       19421
12          1.2481319653645846      20000       20000       19561
13          0.93448194420479003     19828       20000       19397
14          1.2851097642260945      20000       20000       19606
15          0.82163928002733988     19142       20000       19342
16          1.0969392504351194      20000       20000       19508
17          1.0335496223700025      20000       20000       19437
18          0.0                     2           23          87
19          0.96694243616899989     19630       20000       19407
20          0.0                     2           22          53
21          0.72937726063053676     18670       20000       19524
22          0.96404797531809228     19988       20000       19429
23          0.44091468944390899     15958       19780       19061
24          0.98690663629416064     20000       20000       19485
25          1.0828249083039909      20000       20000       19481
26          0.087083736826630773    4338        10216       16882
27          1.2197261899617806      20000       20000       19568
28          1.1335054268776088      20000       20000       19541
29          0.93023356214481911     19872       20000       19400
30          0.057874542897523015    1504        6569        15409
31          0.17374371542196804     10282       17192       18235
32          0.088297482537806254    2592        8003        16693
33          0.1691848360774893      9446        17233       18152
34          0.05282424118179295     1158        6685        15171
35          0.97523722570743676     20000       20000       19415
36          0.59460627442452252     17646       19978       19233
37          0.22976744347929612     12106       18285       18571
38          1.1412480827379523      20000       20000       19525
39          0.97242830839037164     20000       20000       19439
40          1.015446592783845       20000       20000       19436
41          0.79095139092482913     19044       20000       19351
42          0.50724532864548788     16322       19824       19144
43          1.2377410771659254      20000       20000       19561
44          0.53610418882536826     17094       19933       19195
45          0.36975843356944832     14964       19648       18919
46          0.97488121394188176     20000       20000       19518
47          0.83884757077624494     19708       20000       19451
48          0.51066745527107171     16814       19912       19145
49          0.052992462278836694    892         7228        10106
