
top 20 relevant terms:
    term                                              score
    singapor                                          4.352573423390968e-16
    iraq                                              3.5577634503379707e-16
    high                                              3.2277963867082416e-16
    oil                                               3.0491373921047224e-16
    bunk                                              2.636354780675484e-16
    gas                                               2.5509658407174133e-16
    cst                                               2.5504367212259364e-16
    trad                                              2.5046175730852833e-16
    tension                                           2.3910609618904597e-16
    quot                                              2.001258159724406e-16
    brok                                              1.4817356599942957e-16
    newsroom                                          1.3268587048359868e-16
    ton                                               1.31129361355739e-16
    wednesday                                         1.289400717783377e-16
    level                                             1.2818597337938824e-16
    renew                                             1.2307496185624135e-16
    pric                                              1.1894105454656322e-16
    swap                                              1.1630442597668112e-16
    mdo                                               1.1571499230540966e-16
    octob                                             1.0474938950782348e-16
